Entity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Benin,0.110328,0.109559,0.108964,0.108489,0.107844,0.10807,0.108022,0.108281,0.108665,0.109123,0.109697,0.110013,0.111338,0.112693,0.113339,0.114172,0.114168,0.114559,0.114768,0.114918,0.115932,0.115905,0.116496,0.116836,0.117641,0.118821,0.11925,0.12029
Bermuda,0.424859,0.424068,0.424459,0.424583,0.425205,0.425824,0.427557,0.430244,0.434969,0.4398,0.443551,0.448028,0.453093,0.458808,0.463852,0.468297,0.473006,0.47826,0.483459,0.487164,0.489997,0.490018,0.490784,0.491942,0.492026,0.492199,0.491812,0.491449
Bhutan,0.116006,0.117205,0.118704,0.120187,0.121486,0.123164,0.12449,0.126234,0.128316,0.130294,0.13209,0.134171,0.136178,0.137953,0.140067,0.142463,0.145216,0.147716,0.150691,0.153142,0.155632,0.158068,0.160716,0.163164,0.165473,0.167915,0.17001,0.17234
Bolivia,0.245213,0.245799,0.246664,0.247478,0.248384,0.248735,0.250161,0.252531,0.254737,0.257264,0.259291,0.260614,0.262074,0.26266,0.264257,0.265959,0.268216,0.269401,0.271692,0.275173,0.277438,0.279907,0.283331,0.287493,0.29148,0.29572,0.300675,0.305251
Bosnia and Herzegovina,0.100327,0.099612,0.099498,0.099194,0.099234,0.099508,0.102079,0.108757,0.116972,0.125453,0.13128,0.135944,0.139569,0.143059,0.146176,0.149331,0.152028,0.15461,0.157197,0.159969,0.161387,0.163954,0.165417,0.167328,0.168589,0.169897,0.171314,0.172474
Botswana,0.172929,0.174949,0.177201,0.179104,0.181001,0.183124,0.185167,0.187388,0.189033,0.191434,0.192828,0.195284,0.197252,0.198964,0.200897,0.202405,0.204028,0.206201,0.208,0.21,0.211702,0.213178,0.215543,0.217751,0.22057,0.223225,0.225158,0.227733
Brazil,0.233012,0.233714,0.234571,0.235456,0.236509,0.237314,0.238404,0.240256,0.242199,0.243833,0.245153,0.246012,0.246844,0.247595,0.248581,0.249669,0.251311,0.254081,0.257158,0.260296,0.262812,0.264975,0.267234,0.269346,0.271348,0.273366,0.275301,0.277051
Brunei,0.550731,0.54801,0.545544,0.543644,0.542626,0.542036,0.541901,0.541767,0.542123,0.541672,0.542542,0.542975,0.542619,0.542969,0.542664,0.542958,0.544084,0.546872,0.550064,0.552229,0.553168,0.552189,0.550698,0.549248,0.546639,0.543985,0.540722,0.536252
Bulgaria,0.175711,0.174484,0.173255,0.171778,0.170713,0.169853,0.168384,0.166812,0.165543,0.164336,0.163921,0.164236,0.165952,0.167817,0.170118,0.17202,0.174847,0.178052,0.181771,0.185467,0.188239,0.190407,0.192502,0.194699,0.196577,0.198616,0.200733,0.202411
Burkina Faso,0.094841,0.094825,0.094897,0.094967,0.094842,0.094752,0.095149,0.095773,0.095897,0.096646,0.097399,0.098399,0.099372,0.100335,0.101268,0.102201,0.102842,0.103637,0.104324,0.10486,0.105318,0.106297,0.107169,0.108629,0.109383,0.111105,0.111911,0.113354
Burundi,0.095906,0.095707,0.095151,0.094592,0.093896,0.093465,0.092762,0.091567,0.090354,0.089261,0.088553,0.08811,0.087748,0.087178,0.087281,0.086832,0.086875,0.086837,0.086816,0.086894,0.087035,0.087306,0.087565,0.088017,0.088637,0.089309,0.090019,0.090802
Cambodia,0.07706,0.077636,0.077707,0.078039,0.078468,0.078671,0.079168,0.079724,0.080177,0.080465,0.081481,0.082271,0.08381,0.085438,0.086747,0.088384,0.089996,0.091899,0.093569,0.095379,0.097041,0.098796,0.100316,0.101933,0.103741,0.105162,0.106761,0.108379
Cameroon,0.13485,0.132624,0.13025,0.128536,0.127242,0.126237,0.1257,0.125379,0.124706,0.12444,0.124495,0.124628,0.12501,0.125283,0.126114,0.126289,0.126532,0.126903,0.127304,0.127861,0.128149,0.128834,0.129468,0.129959,0.130969,0.1315,0.133,0.13379
Canada,0.442652,0.442308,0.441688,0.442179,0.442959,0.443547,0.444286,0.444809,0.446613,0.447929,0.449142,0.450782,0.454521,0.458293,0.462292,0.463917,0.46538,0.467022,0.468737,0.469551,0.47038,0.470892,0.471709,0.472149,0.473426,0.474343,0.475592,0.477304
Cape Verde,0.122668,0.122952,0.123321,0.124261,0.125041,0.126184,0.127454,0.129463,0.131847,0.13451,0.136282,0.138474,0.140829,0.143424,0.145597,0.147857,0.150638,0.153174,0.155666,0.158223,0.160758,0.162008,0.163585,0.165331,0.16665,0.167825,0.168722,0.169252
Caribbean,0.237873,0.236092,0.234706,0.233767,0.233146,0.23274,0.232821,0.233489,0.234253,0.235272,0.236044,0.236901,0.238082,0.239667,0.241113,0.242507,0.244009,0.245824,0.247903,0.249579,0.251394,0.252788,0.254113,0.255018,0.256281,0.25747,0.258529,0.25921
Central African Republic,0.0974,0.096959,0.096068,0.095446,0.095175,0.094695,0.094367,0.094006,0.093604,0.093367,0.092977,0.092661,0.09273,0.092564,0.092525,0.09251,0.092485,0.092535,0.092571,0.092516,0.092603,0.092436,0.092126,0.091569,0.0908,0.090661,0.089696,0.089183
Central Asia,0.155945,0.153601,0.151002,0.148548,0.14618,0.143977,0.141386,0.138721,0.135947,0.133984,0.132972,0.133295,0.134483,0.13614,0.137946,0.139861,0.142349,0.145627,0.149631,0.153318,0.156376,0.158886,0.161369,0.163948,0.166283,0.168653,0.170697,0.172627
Central Europe,0.172921,0.171389,0.170442,0.169627,0.169192,0.169261,0.169891,0.171135,0.172612,0.17434,0.176033,0.177693,0.179879,0.182178,0.184651,0.187095,0.189796,0.192828,0.196483,0.199649,0.202479,0.204611,0.206911,0.209242,0.211492,0.213618,0.215519,0.217305
"Central Europe, Eastern Europe, and Central Asia",0.187525,0.185347,0.183187,0.181108,0.179087,0.177154,0.174914,0.172252,0.169779,0.168008,0.167549,0.168291,0.169821,0.171698,0.173831,0.175925,0.178543,0.181848,0.185741,0.189188,0.192061,0.194227,0.196352,0.198515,0.20053,0.202417,0.204129,0.205557
