Entity,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Hungary,0.199653,0.198908,0.198409,0.197645,0.197432,0.197394,0.197666,0.198998,0.200204,0.201014,0.202294,0.204208,0.20742,0.210871,0.214009,0.216745,0.218961,0.220837,0.223001,0.224898,0.226389,0.227754,0.22967,0.231261,0.232606,0.234708,0.236107,0.237686
Iceland,0.486624,0.48647,0.486574,0.487893,0.488242,0.48913,0.490709,0.494393,0.498013,0.502034,0.506393,0.510405,0.514959,0.51955,0.524524,0.527964,0.529733,0.531919,0.534992,0.53937,0.543762,0.54697,0.550678,0.55314,0.555098,0.556969,0.557838,0.558014
India,0.105016,0.105393,0.105952,0.106649,0.107376,0.108227,0.109236,0.110587,0.112075,0.113705,0.115263,0.116833,0.118564,0.120365,0.122223,0.124111,0.126231,0.128591,0.131158,0.133841,0.13647,0.139099,0.141892,0.144873,0.147937,0.15115,0.154442,0.157758
Indonesia,0.106652,0.108525,0.110207,0.111817,0.113306,0.114565,0.115784,0.116944,0.118111,0.11908,0.119849,0.120529,0.121129,0.121749,0.122269,0.122975,0.123953,0.125266,0.126898,0.128568,0.130405,0.132299,0.134503,0.136988,0.139724,0.142546,0.145616,0.148782
Iran,0.179779,0.180776,0.18196,0.183179,0.184504,0.185711,0.187338,0.189072,0.191041,0.193012,0.194888,0.197041,0.199588,0.20252,0.205416,0.208306,0.211792,0.216025,0.220348,0.224103,0.226412,0.227861,0.229027,0.230115,0.230971,0.231553,0.231852,0.231894
Iraq,0.179879,0.172471,0.166286,0.161821,0.158622,0.157556,0.158521,0.160836,0.163073,0.165662,0.167824,0.169427,0.170858,0.172481,0.174095,0.175876,0.177768,0.179811,0.181688,0.183805,0.186125,0.188519,0.191375,0.19421,0.197429,0.201027,0.204729,0.208672
Ireland,0.389602,0.392402,0.396178,0.400679,0.405844,0.411697,0.418422,0.426696,0.435703,0.445269,0.45538,0.464163,0.474684,0.485067,0.493785,0.500082,0.505265,0.5098,0.513723,0.51771,0.52236,0.527454,0.532786,0.537966,0.543195,0.549164,0.554509,0.559995
Israel,0.36995,0.372777,0.375618,0.378548,0.381725,0.38485,0.388315,0.391666,0.395592,0.39943,0.402431,0.407726,0.413775,0.419905,0.425134,0.428808,0.430569,0.432092,0.43343,0.435409,0.43736,0.439838,0.44213,0.445398,0.448385,0.452504,0.457104,0.461175
Italy,0.585684,0.589164,0.593023,0.597437,0.600828,0.604477,0.606729,0.610907,0.615103,0.61984,0.623592,0.627055,0.630848,0.634059,0.63641,0.638136,0.635836,0.631239,0.625617,0.621071,0.620174,0.620217,0.620807,0.621421,0.622273,0.623938,0.624953,0.626784
Jamaica,0.237663,0.239617,0.241779,0.24388,0.245273,0.246349,0.247546,0.248155,0.248881,0.249354,0.25005,0.250265,0.251009,0.251631,0.252132,0.252351,0.25274,0.254005,0.254964,0.256082,0.257257,0.257424,0.258016,0.258106,0.258697,0.259079,0.260215,0.25965
Japan,0.408546,0.415382,0.421778,0.427656,0.432612,0.436819,0.440586,0.444397,0.448044,0.450948,0.452609,0.453158,0.453118,0.453022,0.452762,0.452926,0.453833,0.455299,0.456972,0.458745,0.45958,0.45997,0.45973,0.45934,0.458556,0.457507,0.456005,0.454379
Jordan,0.165163,0.163329,0.161619,0.16013,0.159487,0.159171,0.159689,0.160128,0.161103,0.161967,0.162311,0.163266,0.164431,0.166053,0.167759,0.168927,0.171548,0.174414,0.177492,0.179811,0.182015,0.183502,0.184839,0.185897,0.187014,0.1876,0.187787,0.188925
Kazakhstan,0.187688,0.18606,0.184011,0.182075,0.180094,0.178603,0.176283,0.173987,0.171198,0.169689,0.169169,0.169747,0.172644,0.175966,0.179629,0.18356,0.18803,0.192814,0.198485,0.203306,0.207327,0.210804,0.214199,0.217535,0.220428,0.22357,0.225733,0.227918
Kenya,0.123332,0.122987,0.12275,0.122469,0.122322,0.122163,0.122034,0.121955,0.121865,0.121751,0.121764,0.121921,0.122065,0.122264,0.122548,0.122819,0.123153,0.123635,0.124222,0.124891,0.12554,0.126393,0.127413,0.128576,0.129955,0.131502,0.133225,0.135005
Kiribati,0.094547,0.093985,0.093648,0.093232,0.092874,0.092653,0.09254,0.092869,0.092835,0.092794,0.093171,0.093072,0.09306,0.093228,0.093131,0.093178,0.093035,0.093144,0.092406,0.091979,0.092101,0.091957,0.092017,0.092163,0.09222,0.092558,0.092951,0.093614
Kuwait,0.286053,0.28899,0.290366,0.292584,0.29427,0.295822,0.297623,0.299421,0.301693,0.302688,0.304265,0.305353,0.307055,0.309015,0.311192,0.314031,0.317796,0.323515,0.328878,0.333687,0.337002,0.339605,0.341426,0.343039,0.344546,0.345496,0.346072,0.34658
Kyrgyzstan,0.143821,0.141953,0.139933,0.137808,0.135193,0.132693,0.129448,0.125584,0.121342,0.118459,0.116803,0.116227,0.11565,0.115393,0.115207,0.115078,0.11543,0.116857,0.11825,0.119698,0.120972,0.122188,0.12329,0.123805,0.125084,0.126155,0.126846,0.127525
Laos,0.087114,0.087417,0.08786,0.08835,0.089243,0.089861,0.090591,0.091361,0.092378,0.093464,0.094553,0.095742,0.096609,0.09815,0.099521,0.100532,0.102275,0.103945,0.105734,0.107749,0.109775,0.111887,0.11412,0.116619,0.119333,0.122156,0.125113,0.128172
Latin America and Caribbean,0.248372,0.248898,0.249496,0.250178,0.250955,0.251691,0.252564,0.253715,0.255023,0.256219,0.257219,0.258151,0.259254,0.260444,0.261679,0.262919,0.264436,0.266744,0.269306,0.271856,0.273947,0.275736,0.277684,0.279664,0.281654,0.283628,0.285574,0.287486
Latvia,0.199592,0.194782,0.190446,0.186878,0.183763,0.18151,0.180381,0.178736,0.177156,0.176292,0.175498,0.177004,0.180791,0.184633,0.189536,0.193347,0.197092,0.201259,0.205164,0.208834,0.211818,0.214265,0.217302,0.219102,0.221106,0.222607,0.22384,0.225275
Lebanon,0.188162,0.18609,0.184655,0.18408,0.183408,0.183274,0.184096,0.186177,0.18823,0.190767,0.192688,0.194194,0.195343,0.196357,0.197626,0.199362,0.201977,0.205001,0.20818,0.210819,0.212805,0.214196,0.215232,0.215774,0.216987,0.217924,0.218613,0.219049
Lesotho,0.107396,0.108187,0.109324,0.109969,0.110661,0.111659,0.112339,0.113607,0.114495,0.115496,0.116635,0.117454,0.118536,0.119666,0.120525,0.121506,0.122556,0.123302,0.124332,0.125463,0.126363,0.127995,0.128802,0.130242,0.132214,0.133521,0.135087,0.136801
Liberia,0.098362,0.093537,0.088885,0.085331,0.08229,0.080554,0.079744,0.078697,0.078012,0.077626,0.077698,0.078043,0.079435,0.081327,0.083012,0.083809,0.084537,0.084403,0.084794,0.085117,0.085403,0.085829,0.086498,0.087465,0.088483,0.089465,0.090387,0.091591
Libya,0.24159,0.240182,0.239793,0.238979,0.238619,0.237898,0.237311,0.236064,0.234786,0.23379,0.233222,0.232835,0.23289,0.233138,0.233175,0.233457,0.235145,0.238605,0.242741,0.246635,0.247883,0.247047,0.243239,0.237818,0.229695,0.22034,0.208689,0.195726
Lithuania,0.194194,0.190385,0.186546,0.183573,0.181115,0.179824,0.179092,0.178243,0.17778,0.177344,0.177157,0.178306,0.181371,0.185277,0.190031,0.193913,0.197659,0.20104,0.205044,0.2085,0.212327,0.215598,0.218648,0.221894,0.225181,0.228347,0.231187,0.234095
Low SDI,0.09962,0.099232,0.098973,0.098712,0.098571,0.098524,0.098528,0.098698,0.098893,0.099274,0.099652,0.100222,0.100759,0.101455,0.102156,0.102958,0.103875,0.105025,0.106326,0.107734,0.109158,0.110542,0.11214,0.113883,0.115793,0.117784,0.119906,0.122071
Low-middle SDI,0.118417,0.118533,0.118736,0.119102,0.119523,0.120112,0.120862,0.121876,0.12299,0.124228,0.125385,0.126644,0.128149,0.129752,0.131547,0.133293,0.135246,0.137475,0.140014,0.142486,0.14477,0.14699,0.149278,0.151699,0.154017,0.156423,0.158711,0.161039
Luxembourg,0.588532,0.598615,0.608408,0.617657,0.626801,0.635779,0.644467,0.652008,0.6604,0.668298,0.675035,0.681265,0.688411,0.694414,0.700928,0.704658,0.710738,0.717305,0.724201,0.728533,0.731907,0.732959,0.734312,0.736174,0.737177,0.737774,0.738064,0.737917
Macedonia,0.166231,0.163827,0.161717,0.159459,0.15845,0.157712,0.157342,0.15704,0.157017,0.156836,0.156999,0.157388,0.157804,0.158977,0.160308,0.161508,0.163206,0.164984,0.167228,0.169192,0.17151,0.173388,0.175331,0.176918,0.178685,0.1804,0.182335,0.184161
Madagascar,0.108198,0.107081,0.106033,0.104803,0.103968,0.103779,0.103614,0.102905,0.102719,0.102712,0.102577,0.102852,0.102873,0.103311,0.103387,0.103519,0.103132,0.102884,0.10204,0.101808,0.101566,0.101813,0.102201,0.102423,0.103171,0.103769,0.105026,0.106417
Malawi,0.09433,0.09346,0.092631,0.091883,0.091631,0.091616,0.091378,0.091731,0.092081,0.092505,0.092654,0.092955,0.092977,0.093198,0.093079,0.093201,0.093886,0.094405,0.095316,0.096241,0.09695,0.097299,0.097951,0.09866,0.098966,0.099678,0.100071,0.100349
Malaysia,0.143967,0.146549,0.148567,0.150885,0.153033,0.155561,0.157979,0.161533,0.164445,0.167011,0.169604,0.171433,0.173065,0.174713,0.176638,0.177808,0.179558,0.181507,0.183555,0.185006,0.186795,0.188448,0.190473,0.19244,0.194833,0.196888,0.199211,0.201462
Maldives,0.115236,0.116466,0.117855,0.119263,0.120955,0.122669,0.124317,0.126063,0.128122,0.130453,0.1328,0.135421,0.138064,0.140598,0.143485,0.145965,0.147985,0.150309,0.151764,0.152911,0.154053,0.154566,0.155118,0.155907,0.156372,0.156449,0.156533,0.157214
Mali,0.098618,0.098948,0.099176,0.099762,0.100033,0.10027,0.100658,0.101621,0.102281,0.103037,0.103594,0.104706,0.105351,0.106982,0.107923,0.108693,0.109366,0.110265,0.110621,0.111272,0.112274,0.112912,0.113664,0.113804,0.114898,0.115126,0.116156,0.116675
Malta,0.393572,0.39806,0.40221,0.406528,0.411984,0.417264,0.422601,0.429279,0.436046,0.442521,0.447893,0.453401,0.458251,0.462575,0.467217,0.471221,0.474122,0.476736,0.479273,0.482382,0.485439,0.488768,0.491893,0.496907,0.502084,0.507238,0.512867,0.51914
Marshall Islands,0.101555,0.103076,0.104007,0.104743,0.105295,0.105331,0.105572,0.105214,0.105056,0.104872,0.104684,0.10492,0.1053,0.105743,0.106061,0.106667,0.106879,0.107268,0.107981,0.108516,0.108973,0.109504,0.109817,0.11048,0.110561,0.111351,0.112011,0.111895
Mauritania,0.129072,0.128857,0.128382,0.128253,0.128287,0.128209,0.128477,0.128774,0.128633,0.128984,0.129116,0.128837,0.129235,0.129448,0.129695,0.129783,0.130745,0.132032,0.133777,0.135421,0.136869,0.138022,0.139457,0.140629,0.141846,0.142904,0.144351,0.145276
Mauritius,0.133452,0.135309,0.137489,0.139447,0.141694,0.143786,0.145675,0.147987,0.150222,0.152454,0.153985,0.155512,0.156767,0.158315,0.159677,0.161179,0.162964,0.164167,0.165671,0.167349,0.168488,0.170559,0.172579,0.174979,0.176574,0.179304,0.181509,0.184433
Mexico,0.290928,0.291393,0.291943,0.292631,0.293329,0.29398,0.294651,0.295379,0.296227,0.297178,0.297954,0.299338,0.301156,0.303121,0.304734,0.305896,0.306542,0.306978,0.307435,0.307935,0.308406,0.309135,0.310041,0.311076,0.312298,0.313727,0.315249,0.316975
Micronesia (country),0.099825,0.10072,0.101568,0.10218,0.103017,0.103206,0.103724,0.10423,0.104552,0.104938,0.104849,0.105295,0.10591,0.106562,0.106609,0.107013,0.107279,0.107317,0.108007,0.108012,0.108339,0.108538,0.108714,0.108547,0.108805,0.108879,0.10896,0.109113
Middle SDI,0.124954,0.126034,0.127181,0.12833,0.129644,0.13099,0.132541,0.134191,0.135985,0.137851,0.139575,0.141317,0.143334,0.145433,0.147609,0.149744,0.152041,0.154678,0.157503,0.160384,0.163181,0.165905,0.168761,0.171834,0.174989,0.178082,0.181277,0.184486
Moldova,0.155493,0.15258,0.149555,0.145936,0.143122,0.139411,0.135656,0.130831,0.125895,0.122551,0.120683,0.120555,0.120862,0.120885,0.121133,0.121595,0.122379,0.124775,0.126933,0.129596,0.131234,0.132908,0.134578,0.135778,0.137362,0.139005,0.140388,0.141701
Mongolia,0.136545,0.135623,0.134366,0.133953,0.133104,0.133022,0.13295,0.132971,0.133204,0.1337,0.133705,0.13463,0.135912,0.137801,0.139838,0.14166,0.144154,0.147004,0.15016,0.153606,0.156839,0.159947,0.163073,0.166452,0.169617,0.173016,0.176766,0.180157
Montenegro,0.176851,0.172636,0.168869,0.165629,0.163268,0.162049,0.161899,0.162098,0.162048,0.162524,0.162383,0.163256,0.164201,0.166207,0.168314,0.170166,0.172689,0.175704,0.178399,0.181026,0.183531,0.185741,0.187269,0.188755,0.190406,0.191711,0.193395,0.194161
Morocco,0.139397,0.14057,0.141364,0.142562,0.143547,0.144181,0.144995,0.145979,0.147221,0.147951,0.148861,0.149808,0.150603,0.151782,0.152873,0.153938,0.155092,0.156956,0.158754,0.160515,0.162212,0.164069,0.165906,0.167708,0.169519,0.171629,0.173458,0.175569
Mozambique,0.076957,0.076403,0.076041,0.075732,0.075595,0.075706,0.076281,0.077078,0.078349,0.079861,0.081429,0.082448,0.084142,0.085682,0.087122,0.088624,0.089893,0.090975,0.09236,0.093269,0.094592,0.095747,0.096922,0.098348,0.099549,0.100742,0.102066,0.103227
Myanmar,0.074078,0.073908,0.07408,0.074227,0.074309,0.074512,0.074814,0.075694,0.07672,0.078133,0.079458,0.081153,0.082901,0.085543,0.088354,0.090669,0.093437,0.096383,0.099571,0.102574,0.105711,0.108347,0.111296,0.114334,0.117105,0.120132,0.12292,0.125738
Namibia,0.16906,0.168328,0.167647,0.167317,0.16715,0.167125,0.167462,0.167816,0.168257,0.168743,0.169229,0.169691,0.17074,0.172294,0.174132,0.175382,0.176549,0.178456,0.180801,0.182922,0.184639,0.187119,0.189125,0.190803,0.193621,0.196153,0.198721,0.200987
Nepal,0.098058,0.09887,0.099632,0.100358,0.101,0.101546,0.102012,0.102784,0.10342,0.104442,0.105196,0.105714,0.106604,0.107775,0.108816,0.109883,0.110738,0.111947,0.113574,0.115113,0.11597,0.117517,0.119324,0.120997,0.122746,0.124484,0.126455,0.128495
Netherlands,0.344168,0.344544,0.345961,0.348286,0.351405,0.354049,0.359773,0.368346,0.378238,0.386181,0.392099,0.394421,0.395648,0.397749,0.400309,0.403081,0.409201,0.420038,0.433348,0.444633,0.451413,0.455361,0.457882,0.460263,0.462678,0.464945,0.465927,0.467844
New Zealand,0.630645,0.626646,0.623099,0.620431,0.618702,0.618635,0.619733,0.620742,0.623056,0.624549,0.627839,0.630797,0.635264,0.64088,0.646286,0.649389,0.651363,0.65438,0.656645,0.65849,0.660603,0.661753,0.663944,0.665308,0.667358,0.669326,0.671415,0.67329
Nicaragua,0.187456,0.184003,0.181684,0.179444,0.17793,0.177487,0.177751,0.178672,0.179747,0.18043,0.181612,0.182413,0.18359,0.185464,0.18653,0.187569,0.188538,0.189027,0.190207,0.190718,0.191622,0.192938,0.194207,0.196096,0.197953,0.200784,0.202998,0.205876
Niger,0.095989,0.094877,0.094265,0.093301,0.092547,0.091732,0.091202,0.090757,0.090411,0.089981,0.08972,0.089749,0.089828,0.08969,0.089685,0.090047,0.090166,0.090205,0.090322,0.090406,0.090592,0.090867,0.091562,0.092395,0.092943,0.093966,0.095063,0.096116
Nigeria,0.128158,0.125733,0.123404,0.121427,0.120171,0.119542,0.119073,0.118681,0.118438,0.118323,0.118191,0.11931,0.121176,0.123587,0.126883,0.129972,0.133472,0.137163,0.141515,0.145499,0.148502,0.151149,0.153727,0.156338,0.158677,0.160807,0.162295,0.163373
North Africa and Middle East,0.173637,0.173391,0.173023,0.172876,0.173144,0.173713,0.175182,0.177056,0.179297,0.181605,0.183293,0.184643,0.186094,0.187554,0.189216,0.190772,0.192823,0.195699,0.198842,0.201667,0.203702,0.205312,0.207005,0.208652,0.210222,0.211863,0.213108,0.214377
North America,0.466116,0.470496,0.474969,0.479457,0.483773,0.487567,0.491614,0.496025,0.500678,0.504989,0.50857,0.511871,0.51575,0.519719,0.523016,0.524832,0.525899,0.526861,0.527656,0.528097,0.528075,0.527315,0.525855,0.523568,0.521012,0.517583,0.513733,0.50947
North Korea,0.117725,0.11734,0.116125,0.115096,0.113547,0.112036,0.109316,0.106144,0.102224,0.098917,0.096765,0.095178,0.094033,0.092695,0.09197,0.091714,0.091401,0.090865,0.090433,0.090424,0.090211,0.090273,0.09018,0.090254,0.090447,0.090517,0.090724,0.09091
Northern Ireland,0.432511,0.435477,0.438856,0.442676,0.446564,0.450894,0.455523,0.461334,0.467429,0.47295,0.478323,0.484555,0.490502,0.495759,0.501391,0.505481,0.508594,0.512319,0.515163,0.517271,0.517956,0.518879,0.520493,0.521184,0.521777,0.522538,0.523092,0.523497
Northern Mariana Islands,0.252307,0.251579,0.24893,0.245098,0.24197,0.240773,0.239304,0.237864,0.237713,0.240006,0.242594,0.239339,0.233886,0.230314,0.22858,0.228028,0.225562,0.221123,0.218116,0.215637,0.212548,0.208682,0.206213,0.203907,0.20263,0.201718,0.19845,0.195841
Norway,0.530363,0.534375,0.537678,0.540848,0.543337,0.545834,0.547529,0.549031,0.550043,0.551254,0.551948,0.552737,0.553686,0.554498,0.555719,0.557005,0.559066,0.561894,0.565063,0.567877,0.569538,0.570241,0.570953,0.571261,0.571433,0.571305,0.57103,0.570363
Oceania,0.103544,0.104242,0.104806,0.105301,0.105548,0.10596,0.106077,0.106257,0.10671,0.106975,0.107,0.106488,0.106079,0.105061,0.104518,0.104232,0.104212,0.104379,0.104624,0.10477,0.105158,0.105431,0.105967,0.106566,0.107439,0.108272,0.109346,0.110457
Oman,0.212904,0.215288,0.216897,0.218637,0.221206,0.224218,0.22655,0.22913,0.231926,0.236215,0.240447,0.243556,0.245373,0.247181,0.251488,0.256436,0.259052,0.259943,0.262843,0.265776,0.265385,0.259723,0.254677,0.25438,0.255661,0.25674,0.254501,0.254958
Pakistan,0.125654,0.126416,0.126581,0.12724,0.127987,0.128695,0.129383,0.129983,0.130788,0.131456,0.132263,0.132581,0.13373,0.134467,0.135588,0.136564,0.137784,0.13943,0.141445,0.143661,0.145177,0.146681,0.147999,0.149772,0.151117,0.152313,0.153427,0.154583
Palestine,0.121734,0.122158,0.123315,0.124431,0.12527,0.126319,0.127606,0.129899,0.131826,0.133583,0.134061,0.133643,0.133328,0.13297,0.132202,0.1321,0.132279,0.13294,0.13321,0.13393,0.134229,0.135163,0.13571,0.137084,0.138421,0.139787,0.141648,0.143883
Panama,0.234571,0.2352,0.236354,0.237307,0.238621,0.239557,0.241462,0.243262,0.24542,0.247724,0.249867,0.252022,0.253748,0.256514,0.258949,0.261569,0.264319,0.268026,0.271468,0.2758,0.279899,0.283714,0.288177,0.293204,0.29843,0.304011,0.310169,0.31665
Papua New Guinea,0.092002,0.092945,0.093777,0.094625,0.095082,0.095768,0.095917,0.096108,0.096692,0.096928,0.097024,0.096572,0.096479,0.095563,0.095188,0.095136,0.095392,0.095861,0.096355,0.096806,0.097525,0.098034,0.098905,0.099831,0.101039,0.102154,0.10351,0.10496
Paraguay,0.203302,0.204847,0.205767,0.206445,0.207194,0.2078,0.208629,0.209432,0.210051,0.210819,0.21117,0.210964,0.211005,0.210821,0.210697,0.211286,0.211852,0.21382,0.216221,0.218252,0.221084,0.223115,0.225718,0.227796,0.230337,0.232781,0.235552,0.238288
Peru,0.292774,0.295225,0.297326,0.299326,0.301558,0.303863,0.306251,0.308519,0.311445,0.31367,0.315933,0.317791,0.319792,0.321829,0.324521,0.327811,0.331958,0.338857,0.345575,0.35127,0.355834,0.358148,0.360666,0.363074,0.36575,0.367048,0.368377,0.369216
Philippines,0.110424,0.110726,0.110957,0.111322,0.111486,0.111532,0.112216,0.112686,0.112945,0.113782,0.113994,0.114741,0.115061,0.115782,0.116543,0.117073,0.117538,0.118467,0.119599,0.120814,0.122004,0.123404,0.12465,0.126439,0.128226,0.130319,0.132335,0.134855
Poland,0.169137,0.168913,0.169394,0.169888,0.170481,0.171014,0.172287,0.174928,0.178226,0.181307,0.184152,0.186359,0.188666,0.190732,0.192924,0.19518,0.197943,0.200728,0.204831,0.207779,0.211113,0.213375,0.215967,0.218686,0.221683,0.224348,0.226805,0.229485
Portugal,0.407389,0.412269,0.417645,0.423009,0.42754,0.432339,0.438741,0.445821,0.453441,0.460298,0.465799,0.469683,0.47356,0.47712,0.480292,0.484077,0.487375,0.491157,0.495106,0.49907,0.501449,0.503632,0.505364,0.506904,0.508989,0.510327,0.512185,0.513079
Puerto Rico,0.356499,0.359352,0.362233,0.365533,0.369206,0.371902,0.375744,0.379777,0.38394,0.38763,0.391329,0.395423,0.400447,0.405448,0.408882,0.411,0.411977,0.412885,0.413065,0.413018,0.413657,0.413561,0.413822,0.413728,0.413598,0.413388,0.413068,0.412628
Qatar,0.286289,0.281168,0.277479,0.275428,0.274157,0.274153,0.27729,0.28246,0.289668,0.296494,0.301971,0.306831,0.311036,0.316182,0.319571,0.320742,0.321023,0.319637,0.318032,0.315596,0.313912,0.313587,0.314643,0.315988,0.316684,0.316654,0.317081,0.318165
Romania,0.164072,0.161598,0.159525,0.157414,0.156168,0.155716,0.155764,0.155939,0.155914,0.156616,0.15715,0.157927,0.159462,0.1616,0.164183,0.166423,0.169002,0.172569,0.176791,0.180617,0.183693,0.186349,0.188991,0.191909,0.194278,0.196733,0.198926,0.2007
Russia,0.219268,0.217068,0.214702,0.212159,0.20948,0.206664,0.203001,0.198212,0.193494,0.189839,0.188517,0.189185,0.190688,0.192619,0.194939,0.197267,0.200312,0.20435,0.208899,0.21315,0.216506,0.219161,0.221645,0.224186,0.2265,0.228643,0.230686,0.232375
Rwanda,0.098718,0.096641,0.094907,0.093392,0.093067,0.093398,0.092804,0.092309,0.091873,0.091739,0.091589,0.091919,0.093007,0.093804,0.095078,0.096222,0.097308,0.098759,0.100459,0.10173,0.103552,0.104721,0.106537,0.108072,0.110042,0.11216,0.114004,0.115817
Saint Lucia,0.255349,0.257186,0.259031,0.261018,0.263011,0.264247,0.265449,0.267747,0.269191,0.269562,0.27035,0.270586,0.271223,0.271572,0.271366,0.271655,0.2733,0.274653,0.276259,0.277745,0.279066,0.280449,0.280848,0.282036,0.283267,0.284521,0.285017,0.286341
Saint Vincent and the Grenadines,0.218318,0.220346,0.222561,0.224536,0.226591,0.228815,0.230449,0.232824,0.235388,0.237317,0.239541,0.24198,0.244686,0.247223,0.249984,0.252275,0.254837,0.25748,0.260962,0.262933,0.265501,0.266595,0.268307,0.270489,0.271696,0.272231,0.273784,0.274837
Samoa,0.10924,0.108655,0.108735,0.108481,0.10876,0.108666,0.108887,0.109745,0.110422,0.111101,0.111981,0.113136,0.11476,0.116089,0.117845,0.118785,0.119871,0.121495,0.122465,0.123154,0.123989,0.12444,0.125001,0.12508,0.125588,0.125778,0.125866,0.126132
Sao Tome and Principe,0.121837,0.12113,0.120125,0.119369,0.118674,0.118587,0.118128,0.117863,0.117764,0.117575,0.11737,0.117849,0.118488,0.1196,0.120865,0.121416,0.122208,0.123203,0.123819,0.124605,0.125327,0.126443,0.127592,0.128828,0.129935,0.13171,0.133377,0.13484
Saudi Arabia,0.250174,0.249896,0.250166,0.250081,0.250283,0.250868,0.251755,0.251991,0.252548,0.252846,0.253641,0.254396,0.255287,0.256362,0.257691,0.258979,0.259888,0.262649,0.265814,0.268766,0.270971,0.273674,0.276222,0.279182,0.281789,0.284659,0.28672,0.289615
Scotland,0.388131,0.391916,0.396655,0.399895,0.403719,0.407834,0.411552,0.416152,0.421083,0.426082,0.429406,0.434192,0.439858,0.445608,0.450898,0.454419,0.458471,0.461975,0.464536,0.46708,0.468854,0.469512,0.470642,0.470877,0.471684,0.471939,0.471486,0.471236
Senegal,0.118304,0.117837,0.11743,0.116437,0.116126,0.116183,0.116084,0.115791,0.115791,0.115459,0.115526,0.115615,0.116089,0.117169,0.117801,0.11854,0.118783,0.119306,0.119744,0.120001,0.120375,0.120983,0.121573,0.122222,0.123063,0.123728,0.124287,0.12529
Serbia,0.168098,0.163906,0.160263,0.157026,0.154679,0.153619,0.153299,0.153372,0.153154,0.15296,0.15278,0.153578,0.155397,0.157715,0.160631,0.163412,0.165797,0.168795,0.171589,0.174636,0.177051,0.17836,0.180229,0.18211,0.183528,0.185056,0.186224,0.187147
Seychelles,0.15974,0.161804,0.163513,0.165819,0.167707,0.169455,0.172024,0.174095,0.176248,0.17832,0.17958,0.179553,0.179953,0.180137,0.180531,0.181119,0.18083,0.1816,0.181926,0.182531,0.183356,0.184324,0.186152,0.187811,0.189702,0.192355,0.194795,0.197452
Sierra Leone,0.109607,0.109679,0.109807,0.109551,0.109643,0.109018,0.107887,0.105669,0.103433,0.10135,0.100421,0.100116,0.099465,0.099237,0.099218,0.098832,0.099356,0.099503,0.100123,0.101324,0.101948,0.102732,0.103496,0.104646,0.105673,0.106721,0.108252,0.109799
Singapore,0.373698,0.380503,0.386527,0.393371,0.399914,0.406909,0.41334,0.420356,0.427768,0.434899,0.440829,0.445971,0.451158,0.456707,0.46224,0.468541,0.474917,0.483169,0.491488,0.500104,0.507886,0.51479,0.521609,0.528682,0.535816,0.542395,0.547688,0.553712
Slovakia,0.18869,0.187083,0.185779,0.184607,0.183663,0.183653,0.184227,0.185225,0.186769,0.188571,0.189741,0.191526,0.193412,0.195561,0.197943,0.20024,0.203527,0.207329,0.211515,0.215583,0.219097,0.221885,0.224756,0.227514,0.229772,0.232232,0.233693,0.235475
Slovenia,0.20926,0.206987,0.20531,0.204201,0.203704,0.203537,0.204165,0.205846,0.207497,0.209418,0.211869,0.213851,0.216385,0.218478,0.220881,0.223021,0.22583,0.228352,0.230855,0.233288,0.234407,0.235433,0.2362,0.237059,0.237867,0.238706,0.239438,0.239636
Solomon Islands,0.087332,0.087912,0.088876,0.089571,0.090033,0.090552,0.090591,0.091108,0.091324,0.091638,0.091715,0.091069,0.089914,0.088277,0.086961,0.086636,0.086869,0.087172,0.087875,0.088318,0.088839,0.089354,0.089829,0.090599,0.09145,0.092245,0.093325,0.094189
Somalia,0.082379,0.081991,0.081236,0.080538,0.08008,0.079447,0.078838,0.07807,0.077263,0.076855,0.076573,0.076425,0.076499,0.076445,0.076376,0.07659,0.076516,0.076728,0.076963,0.077297,0.077515,0.077832,0.078257,0.078566,0.07869,0.078854,0.079322,0.079896
South Africa,0.198042,0.196632,0.195428,0.194407,0.193771,0.193614,0.193563,0.193627,0.193827,0.193954,0.194621,0.19536,0.196791,0.198786,0.200681,0.202212,0.203955,0.205882,0.20801,0.20983,0.210795,0.211382,0.212119,0.212749,0.21367,0.214094,0.21441,0.214718
South Asia,0.106406,0.10685,0.107416,0.108096,0.108822,0.109632,0.110589,0.111796,0.113122,0.114632,0.116011,0.117439,0.119012,0.120662,0.12239,0.124118,0.126056,0.128297,0.13074,0.133305,0.135786,0.138237,0.140826,0.143598,0.146404,0.149292,0.152269,0.155251
South Korea,0.282469,0.290756,0.297736,0.304845,0.311977,0.318585,0.324382,0.330896,0.336496,0.34183,0.347138,0.351952,0.356912,0.361463,0.365582,0.370022,0.374784,0.379405,0.384532,0.389177,0.393306,0.396881,0.400345,0.404395,0.407531,0.411541,0.414479,0.417103
South Sudan,0.132271,0.131317,0.12991,0.129057,0.12844,0.127844,0.12792,0.127871,0.127783,0.127725,0.127822,0.128231,0.128755,0.129675,0.130162,0.130693,0.131618,0.1324,0.133252,0.134372,0.13482,0.134744,0.134736,0.134567,0.134843,0.135115,0.134691,0.134608
